MAG,MG,Coverage
MAG00102,MG_0387RFLQV1,11.65566
MAG00103,MG_0387RFLQV1,18.742687
MAG00104,MG_0387RFLQV1,30.34449
MAG00105,MG_0387RFLQV1,11.157066
MAG00106,MG_0387RFLQV1,57.40953
MAG00109,MG_0387RFLQV1,53.56879
MAG00110,MG_0387RFLQV1,20.042326
MAG00111,MG_0387RFLQV1,12.485488
MAG00112,MG_0388RFLQV1,101.1291
MAG00113,MG_0388RFLQV1,113.267075
MAG00114,MG_0388RFLQV1,6329.0903
MAG00115,MG_0388RFLQV1,1775.1233
MAG00116,MG_0388RFLQV1,279.4513
MAG00117,MG_0388RFLQV1,509.7468
MAG00118,MG_0388RFLQV1,12.262215
MAG00119,MG_0388RFLQV1,28.79946
MAG00120,MG_0388RFLQV1,590.41925
MAG00121,MG_0388RFLQV1,23.738848
MAG00122,MG_0388RFLQV1,16.072937
MAG00123,MG_0388RFLQV1,54.85513
MAG00124,MG_0388RFLQV1,23.470062
MAG00125,MG_0388RFLQV1,50.585457
MAG00126,MG_0400RFLQV1,696.4367
MAG00127,MG_0403RFLQV1,18.442122
MAG00128,MG_0403RFLQV1,65.76133
MAG00129,MG_0403RFLQV1,1294.7028
MAG00130,MG_0403RFLQV1,655.1251
MAG00132,MG_0403RFLQV1,13.680464
MAG00133,MG_0403RFLQV1,94.50941
MAG00134,MG_0403RFLQV1,149.7629
MAG00136,MG_0403RFLQV1,1023.21466
MAG00137,MG_0403RFLQV1,29.897287
MAG00138,MG_0403RFLQV1,38.71776
MAG00139,MG_0403RFLQV1,25.037039
MAG00140,MG_0403RFLQV1,41.9477
MAG00141,MG_0403RFLQV1,101.0538
MAG00142,MG_0403RFLQV1,12.100179
MAG00143,MG_0406RFLQV1,39.2003
MAG00144,MG_0406RFLQV1,19.917755
MAG00145,MG_0406RFLQV1,33.759132
MAG00146,MG_0406RFLQV1,23.994686
MAG00148,MG_0406RFLQV1,504.77942
MAG00149,MG_0406RFLQV1,60.597546
MAG00150,MG_0406RFLQV1,25.623192
MAG00151,MG_0406RFLQV1,225.67801
MAG00152,MG_0406RFLQV1,103.24349
MAG00153,MG_0406RFLQV1,90.97196
MAG00154,MG_0406RFLQV1,342.89297
MAG00155,MG_0406RFLQV1,938.08295
MAG00156,MG_0406RFLQV1,8271.734
MAG00157,MG_0407RFLQV1,115.61321
MAG00158,MG_0411RFLQV1,106.62687
MAG00159,MG_0411RFLQV1,322.9977
